person_1,person_2,mutual_type
example100036@students.pitzer.edu,example101539@students.claremontmckenna.edu,like
example100434@students.pitzer.edu,example101933@mymail.pomona.edu,like
example100745@scrippscollege.edu,example100857@students.pitzer.edu,like
example101284@mymail.pomona.edu,example101511@hmc.edu,friend
example100339@hmc.edu,example101871@students.pitzer.edu,like
example100151@scrippscollege.edu,example100702@mymail.pomona.edu,like
example100116@hmc.edu,example100751@mymail.pomona.edu,friend
example100766@scrippscollege.edu,example101040@scrippscollege.edu,friend
example100835@students.pitzer.edu,example101476@mymail.pomona.edu,like
example100557@mymail.pomona.edu,example101623@hmc.edu,friend
example100174@mymail.pomona.edu,example100541@scrippscollege.edu,friend
example101163@students.claremontmckenna.edu,example101230@students.pitzer.edu,friend
example100260@students.pitzer.edu,example101603@students.claremontmckenna.edu,friend
example100757@students.claremontmckenna.edu,example101197@students.claremontmckenna.edu,like
example101643@students.claremontmckenna.edu,example101929@students.pitzer.edu,friend
example100470@scrippscollege.edu,example101913@hmc.edu,friend
example100259@scrippscollege.edu,example100608@hmc.edu,friend
example100433@students.pitzer.edu,example101857@students.pitzer.edu,friend
example100723@hmc.edu,example100808@hmc.edu,friend
example100686@students.claremontmckenna.edu,example101764@students.claremontmckenna.edu,like
example101101@mymail.pomona.edu,example101684@students.pitzer.edu,like
example100183@students.pitzer.edu,example101204@students.pitzer.edu,like
example100903@mymail.pomona.edu,example101579@scrippscollege.edu,like
example101156@mymail.pomona.edu,example101478@hmc.edu,like
example100021@mymail.pomona.edu,example101686@students.pitzer.edu,friend
example100506@scrippscollege.edu,example100674@hmc.edu,like
example100865@students.pitzer.edu,example101863@students.claremontmckenna.edu,like
example100801@hmc.edu,example101341@hmc.edu,friend
example101338@students.pitzer.edu,example101490@hmc.edu,like
example101030@hmc.edu,example101031@students.pitzer.edu,friend
example100473@students.claremontmckenna.edu,example100911@students.pitzer.edu,friend
example101083@hmc.edu,example101398@scrippscollege.edu,like
example100796@scrippscollege.edu,example101069@students.claremontmckenna.edu,friend
example100372@scrippscollege.edu,example101751@hmc.edu,friend
example101276@students.pitzer.edu,example101802@students.pitzer.edu,like
example101128@students.claremontmckenna.edu,example101511@hmc.edu,like
example100762@hmc.edu,example101095@mymail.pomona.edu,friend
example100444@students.pitzer.edu,example100811@hmc.edu,like
example100164@scrippscollege.edu,example100466@hmc.edu,like
example101139@scrippscollege.edu,example101955@hmc.edu,like
example100802@hmc.edu,example101740@students.pitzer.edu,like
example100737@students.pitzer.edu,example101095@mymail.pomona.edu,friend
example100389@students.pitzer.edu,example100829@students.claremontmckenna.edu,like
example100388@mymail.pomona.edu,example100765@students.claremontmckenna.edu,friend
example100116@hmc.edu,example101734@students.claremontmckenna.edu,friend
example101242@scrippscollege.edu,example101914@hmc.edu,friend
example101076@hmc.edu,example101804@students.claremontmckenna.edu,friend
example101334@students.pitzer.edu,example101531@students.claremontmckenna.edu,friend
example101208@hmc.edu,example101250@scrippscollege.edu,friend
example100226@mymail.pomona.edu,example100852@students.claremontmckenna.edu,like
example101307@students.claremontmckenna.edu,example101535@scrippscollege.edu,friend
example100453@hmc.edu,example100584@mymail.pomona.edu,friend
example100428@hmc.edu,example101604@students.pitzer.edu,like
example100152@students.pitzer.edu,example100523@hmc.edu,friend
example100495@mymail.pomona.edu,example101660@mymail.pomona.edu,like
example101089@scrippscollege.edu,example101355@mymail.pomona.edu,like
example100841@students.claremontmckenna.edu,example101669@students.pitzer.edu,like
example100260@students.pitzer.edu,example101437@mymail.pomona.edu,friend
example100388@mymail.pomona.edu,example101363@mymail.pomona.edu,friend
example100654@mymail.pomona.edu,example101772@hmc.edu,like
example100023@students.claremontmckenna.edu,example101581@mymail.pomona.edu,like
example100100@scrippscollege.edu,example101961@students.claremontmckenna.edu,friend
example101076@hmc.edu,example101418@hmc.edu,like
example100838@hmc.edu,example101413@hmc.edu,like
example100732@students.pitzer.edu,example101317@scrippscollege.edu,friend
example101204@students.pitzer.edu,example101272@students.pitzer.edu,friend
example100964@students.pitzer.edu,example101367@students.claremontmckenna.edu,like
example101503@hmc.edu,example101781@mymail.pomona.edu,like
example100257@mymail.pomona.edu,example101297@hmc.edu,friend
example101617@students.pitzer.edu,example101724@hmc.edu,like
example100219@scrippscollege.edu,example101272@students.pitzer.edu,friend
example100097@scrippscollege.edu,example100275@scrippscollege.edu,like
example100326@mymail.pomona.edu,example100791@students.claremontmckenna.edu,like
example100106@scrippscollege.edu,example101764@students.claremontmckenna.edu,like
example100598@students.claremontmckenna.edu,example101684@students.pitzer.edu,like
example100167@students.claremontmckenna.edu,example101093@students.pitzer.edu,friend
example100961@students.pitzer.edu,example101946@students.claremontmckenna.edu,friend
example100465@students.pitzer.edu,example101554@mymail.pomona.edu,friend
example101127@students.claremontmckenna.edu,example101806@hmc.edu,like
example101355@mymail.pomona.edu,example101725@hmc.edu,friend
example100029@students.claremontmckenna.edu,example101557@students.pitzer.edu,friend
example101319@hmc.edu,example101673@students.pitzer.edu,like
example100767@students.claremontmckenna.edu,example101497@students.pitzer.edu,friend
example100432@students.pitzer.edu,example101174@students.claremontmckenna.edu,like
example101198@students.claremontmckenna.edu,example101620@scrippscollege.edu,friend
example101315@scrippscollege.edu,example101778@students.pitzer.edu,like
example101161@students.claremontmckenna.edu,example101729@hmc.edu,friend
example100441@scrippscollege.edu,example101436@students.pitzer.edu,like
example100496@students.pitzer.edu,example100514@hmc.edu,like
example100216@students.pitzer.edu,example100294@students.claremontmckenna.edu,friend
example100327@hmc.edu,example101719@mymail.pomona.edu,like
example100048@mymail.pomona.edu,example101270@hmc.edu,like
example100018@students.pitzer.edu,example101586@scrippscollege.edu,like
example100516@students.claremontmckenna.edu,example101146@scrippscollege.edu,like
example100678@mymail.pomona.edu,example101554@mymail.pomona.edu,like
example101407@students.pitzer.edu,example101936@students.claremontmckenna.edu,friend
example100876@scrippscollege.edu,example101312@mymail.pomona.edu,like
example100158@hmc.edu,example100997@scrippscollege.edu,like
example101391@scrippscollege.edu,example101657@students.claremontmckenna.edu,like
example100476@hmc.edu,example101303@students.pitzer.edu,friend
example101269@students.pitzer.edu,example101324@mymail.pomona.edu,like
example100909@hmc.edu,example101359@students.claremontmckenna.edu,like
example101459@scrippscollege.edu,example101713@students.claremontmckenna.edu,friend
example101443@scrippscollege.edu,example101542@hmc.edu,like
example101178@students.pitzer.edu,example101855@students.claremontmckenna.edu,like
example100479@mymail.pomona.edu,example101456@students.pitzer.edu,like
example100985@hmc.edu,example101715@students.pitzer.edu,friend
example101452@scrippscollege.edu,example101852@students.claremontmckenna.edu,friend
example100557@mymail.pomona.edu,example101527@mymail.pomona.edu,like
