source_email,relationship_type,target_email
example100000@scrippscollege.edu,friend,example100313@scrippscollege.edu
example100000@scrippscollege.edu,friend,example101625@mymail.pomona.edu
example100000@scrippscollege.edu,friend,example100784@hmc.edu
example100000@scrippscollege.edu,like,example100113@hmc.edu
example100113@hmc.edu,like,example100000@scrippscollege.edu
example100000@scrippscollege.edu,friend,example101919@students.claremontmckenna.edu
example100000@scrippscollege.edu,like,example100537@scrippscollege.edu
example100000@scrippscollege.edu,like,example100452@hmc.edu
example100000@scrippscollege.edu,friend,example100937@hmc.edu
example100001@students.claremontmckenna.edu,like,example101030@hmc.edu
example100001@students.claremontmckenna.edu,friend,example101030@hmc.edu
example101030@hmc.edu,friend,example100001@students.claremontmckenna.edu
example100001@students.claremontmckenna.edu,friend,example100986@students.claremontmckenna.edu
example100001@students.claremontmckenna.edu,like,example101165@hmc.edu
example101165@hmc.edu,like,example100001@students.claremontmckenna.edu
example100001@students.claremontmckenna.edu,like,example101731@mymail.pomona.edu
example100001@students.claremontmckenna.edu,like,example100189@mymail.pomona.edu
example100001@students.claremontmckenna.edu,friend,example100189@mymail.pomona.edu
example100001@students.claremontmckenna.edu,friend,example100021@mymail.pomona.edu
example100001@students.claremontmckenna.edu,like,example101886@hmc.edu
example100002@scrippscollege.edu,friend,example100035@mymail.pomona.edu
example100003@students.pitzer.edu,like,example100834@mymail.pomona.edu
example100003@students.pitzer.edu,friend,example100834@mymail.pomona.edu
example100003@students.pitzer.edu,friend,example101042@students.claremontmckenna.edu
example100003@students.pitzer.edu,like,example100488@students.pitzer.edu
example100003@students.pitzer.edu,friend,example100477@scrippscollege.edu
example100003@students.pitzer.edu,friend,example101835@scrippscollege.edu
example100003@students.pitzer.edu,friend,example101908@mymail.pomona.edu
example100004@students.pitzer.edu,like,example101794@scrippscollege.edu
example101794@scrippscollege.edu,like,example100004@students.pitzer.edu
example100004@students.pitzer.edu,friend,example101794@scrippscollege.edu
example100004@students.pitzer.edu,friend,example100043@hmc.edu
example100004@students.pitzer.edu,like,example101726@students.claremontmckenna.edu
example100005@students.pitzer.edu,like,example101136@students.pitzer.edu
example100005@students.pitzer.edu,like,example101947@mymail.pomona.edu
example100005@students.pitzer.edu,friend,example101947@mymail.pomona.edu
example100005@students.pitzer.edu,like,example101448@hmc.edu
example100005@students.pitzer.edu,like,example101613@hmc.edu
example100006@hmc.edu,like,example101834@mymail.pomona.edu
example101834@mymail.pomona.edu,like,example100006@hmc.edu
example100006@hmc.edu,friend,example101344@scrippscollege.edu
example100006@hmc.edu,like,example101896@hmc.edu
example100006@hmc.edu,friend,example101896@hmc.edu
example100006@hmc.edu,like,example100651@hmc.edu
example100006@hmc.edu,like,example101134@mymail.pomona.edu
example100006@hmc.edu,friend,example101927@students.pitzer.edu
example100006@hmc.edu,like,example101982@mymail.pomona.edu
example100006@hmc.edu,like,example101410@scrippscollege.edu
example100006@hmc.edu,friend,example101410@scrippscollege.edu
example100007@hmc.edu,friend,example101678@hmc.edu
example100007@hmc.edu,like,example101235@mymail.pomona.edu
example100007@hmc.edu,like,example101201@students.claremontmckenna.edu
example100007@hmc.edu,friend,example100310@hmc.edu
example100007@hmc.edu,like,example100050@hmc.edu
example100007@hmc.edu,like,example100785@students.pitzer.edu
example100007@hmc.edu,friend,example100785@students.pitzer.edu
example100008@mymail.pomona.edu,like,example101192@students.claremontmckenna.edu
example100008@mymail.pomona.edu,friend,example101192@students.claremontmckenna.edu
example100008@mymail.pomona.edu,like,example100084@students.claremontmckenna.edu
example100008@mymail.pomona.edu,friend,example101959@students.claremontmckenna.edu
example100008@mymail.pomona.edu,like,example100962@students.claremontmckenna.edu
example100008@mymail.pomona.edu,friend,example100962@students.claremontmckenna.edu
example100008@mymail.pomona.edu,like,example100972@scrippscollege.edu
example100008@mymail.pomona.edu,like,example101261@mymail.pomona.edu
example100008@mymail.pomona.edu,like,example101222@scrippscollege.edu
example100008@mymail.pomona.edu,friend,example101222@scrippscollege.edu
example100010@mymail.pomona.edu,like,example101011@students.pitzer.edu
example100010@mymail.pomona.edu,like,example100363@mymail.pomona.edu
example100010@mymail.pomona.edu,like,example100826@students.pitzer.edu
example100010@mymail.pomona.edu,like,example100668@students.claremontmckenna.edu
example100010@mymail.pomona.edu,friend,example100668@students.claremontmckenna.edu
example100010@mymail.pomona.edu,like,example100542@scrippscollege.edu
example100010@mymail.pomona.edu,friend,example101027@students.pitzer.edu
example100010@mymail.pomona.edu,friend,example100595@scrippscollege.edu
example100010@mymail.pomona.edu,friend,example101556@scrippscollege.edu
example100010@mymail.pomona.edu,like,example100314@mymail.pomona.edu
example100010@mymail.pomona.edu,friend,example100314@mymail.pomona.edu
example100010@mymail.pomona.edu,friend,example101492@students.claremontmckenna.edu
