id,first_name,last_name,email,mbti,self identified gender,matching gender preferences
100000,Dakota,Whitney,example100000@scrippscollege.edu,ENFJ,women,men
100001,Armando,Cline,example100001@students.claremontmckenna.edu,,women,men
100002,Joe,Donaldson,example100002@scrippscollege.edu,ENFP,men,non-binary
100003,Jacoby,Nolan,example100003@students.pitzer.edu,ENFJ,"men, women, non-binary","women, non-binary"
100004,Braelyn,Fry,example100004@students.pitzer.edu,INTP,men,women
100005,Avalynn,Villegas,example100005@students.pitzer.edu,,women,men
100006,Aubrey,Cantrell,example100006@hmc.edu,ESFJ,men,women
100007,Aisha,Mahoney,example100007@hmc.edu,ESTJ,women,men
100008,Aidan,Hawkins,example100008@mymail.pomona.edu,ISFP,men,women
100009,Poppy,Patrick,example100009@students.pitzer.edu,INFJ,women,men
100010,Nora,Wilson,example100010@mymail.pomona.edu,ENTP,women,men
100011,Anya,Elliott,example100011@hmc.edu,ENFJ,men,women
