id,first_name,last_name,email,mbti
100000,Dakota,Whitney,example100000@scrippscollege.edu,ENFJ
100001,Armando,Cline,example100001@students.claremontmckenna.edu,NA
100002,Joe,Donaldson,example100002@scrippscollege.edu,ENFP
100003,Jacoby,Nolan,example100003@students.pitzer.edu,ENFJ
100004,Braelyn,Fry,example100004@students.pitzer.edu,INTP
100005,Avalynn,Villegas,example100005@students.pitzer.edu,NA
100006,Aubrey,Cantrell,example100006@hmc.edu,ESFJ
100007,Aisha,Mahoney,example100007@hmc.edu,ESTJ
100008,Aidan,Hawkins,example100008@mymail.pomona.edu,ISFP
100009,Poppy,Patrick,example100009@students.pitzer.edu,INFJ
100010,Nora,Wilson,example100010@mymail.pomona.edu,ENTP
100011,Anya,Elliott,example100011@hmc.edu,ENFJ
100012,Vicente,Griffin,example100012@hmc.edu,INFJ
100013,Antonio,Corona,example100013@mymail.pomona.edu,ESTJ
100014,Kayson,Lawson,example100014@scrippscollege.edu,ESFP
100015,Winter,Martin,example100015@hmc.edu,ESFJ
100016,Emma,Hudson,example100016@mymail.pomona.edu,ISTP
100017,Amelie,Dawson,example100017@scrippscollege.edu,ENFJ
100018,Emilio,Wyatt,example100018@students.pitzer.edu,INTP
100019,Vanessa,Sharp,example100019@scrippscollege.edu,INTJ
100020,Harold,Grant,example100020@mymail.pomona.edu,INFP
100021,Gemma,Andersen,example100021@mymail.pomona.edu,ENTP
100022,Aries,King,example100022@students.pitzer.edu,INTJ
100023,Lola,Kline,example100023@students.claremontmckenna.edu,ESTP
100024,Colter,Bradshaw,example100024@mymail.pomona.edu,ESTJ
100025,Alonzo,Hodges,example100025@scrippscollege.edu,NA
100026,Charley,Wilkinson,example100026@students.pitzer.edu,ESTJ
100027,Leonidas,Jennings,example100027@hmc.edu,INTJ
100028,Nia,Avery,example100028@mymail.pomona.edu,INTP
100029,Camilla,Hansen,example100029@students.claremontmckenna.edu,NA
100030,Amaia,Ross,example100030@hmc.edu,INFJ
100031,Anya,Sellers,example100031@hmc.edu,ESTJ
100032,Brennan,Hayden,example100032@students.claremontmckenna.edu,ENTJ
100033,Kane,Davidson,example100033@scrippscollege.edu,ENTP
100034,Kamila,Johnson,example100034@scrippscollege.edu,ISTJ
100035,Lucca,French,example100035@mymail.pomona.edu,ISFP
100036,Aspen,Mahoney,example100036@students.pitzer.edu,ISTJ
100037,Azariah,Martinez,example100037@scrippscollege.edu,ENFP
100038,Emmalyn,Le,example100038@mymail.pomona.edu,NA
100039,Karen,Daniels,example100039@students.claremontmckenna.edu,NA
100040,Alina,Yates,example100040@hmc.edu,ISFP
100041,Mohammad,Davidson,example100041@students.claremontmckenna.edu,INFJ
100042,Anastasia,Poole,example100042@students.claremontmckenna.edu,ENTP
100043,Theo,Hall,example100043@hmc.edu,ENTP
100044,Kailani,Dorsey,example100044@mymail.pomona.edu,ENTJ
100045,London,Zavala,example100045@hmc.edu,INTJ
100046,David,Meyers,example100046@hmc.edu,ESFJ
100047,Azalea,Frederick,example100047@students.claremontmckenna.edu,ESFP
100048,Collins,Corona,example100048@mymail.pomona.edu,ESFJ
100049,Renata,Aguirre,example100049@scrippscollege.edu,INTJ
100050,Rayna,Huynh,example100050@hmc.edu,ENFJ
100051,Ellianna,Nash,example100051@students.pitzer.edu,INTJ
100052,Raylan,Waller,example100052@students.pitzer.edu,ESFJ
100053,Anthony,Vasquez,example100053@scrippscollege.edu,INFP
100054,Davina,Arnold,example100054@hmc.edu,ISFJ
100055,Loretta,Macias,example100055@scrippscollege.edu,ESTP
100056,Adley,Duke,example100056@students.pitzer.edu,ISTJ
100057,Elaine,Zuniga,example100057@hmc.edu,ISFJ
100058,Evangeline,Wolf,example100058@mymail.pomona.edu,ENTJ
100059,Sydney,Hicks,example100059@students.claremontmckenna.edu,ESFP
100060,Abraham,Bates,example100060@students.claremontmckenna.edu,ESTJ
100061,Lane,Cardenas,example100061@mymail.pomona.edu,INFP
100062,Johanna,Cisneros,example100062@hmc.edu,ENTJ
100063,Nixon,Lam,example100063@mymail.pomona.edu,INTJ
100064,Amalia,Singleton,example100064@mymail.pomona.edu,ISFJ
100065,Jagger,Pratt,example100065@students.pitzer.edu,ISTJ
100066,Andy,Solomon,example100066@hmc.edu,ISTJ
100067,Avayah,Barber,example100067@hmc.edu,ENFJ
100068,Noah,Mann,example100068@students.pitzer.edu,ENTP
100069,Warren,Lyons,example100069@students.claremontmckenna.edu,ENFJ
100070,Johnny,Nunez,example100070@mymail.pomona.edu,ISFJ
100071,Lucy,O’Connor,example100071@mymail.pomona.edu,ENTJ
100072,Lucy,Harding,example100072@hmc.edu,NA
100073,Aries,Christian,example100073@students.claremontmckenna.edu,ISFP
100074,Alden,McClure,example100074@students.pitzer.edu,ESTP
100075,Hayley,Villegas,example100075@scrippscollege.edu,ESTJ
100076,Vanessa,Morrow,example100076@students.claremontmckenna.edu,ISTP
100077,Morgan,Humphrey,example100077@hmc.edu,ISTJ
100078,Moshe,Doyle,example100078@mymail.pomona.edu,ISFP
100079,Kataleya,Dennis,example100079@students.pitzer.edu,ISFP
100080,Casey,Klein,example100080@hmc.edu,ENFJ
100081,Callen,O’Connor,example100081@scrippscollege.edu,INTP
100082,August,Hood,example100082@mymail.pomona.edu,ENFP
100083,Sawyer,Clarke,example100083@students.claremontmckenna.edu,INFP
100084,Zavier,Beasley,example100084@students.claremontmckenna.edu,ISFP
100085,Franklin,Tucker,example100085@hmc.edu,ENTJ
100086,Diego,Cooper,example100086@students.pitzer.edu,ESFJ
100087,Rose,Potter,example100087@mymail.pomona.edu,ESFP
